age,dependents,monthly_income,job_stability_years,electricity_bill_ratio,gas_bill_ratio,mobile_bill_ratio,savings_ratio,avg_monthly_balance,target
28,2,65051.41866928274,4.557136094265737,0.500428645344108,0.5023830652407681,0.7908817925548055,0.1739674244166774,20941.73042397816,1
41,0,54748.17868208131,2.507820766603171,0.9899591593646477,0.6983051710277002,0.7384218025194962,0.24984243209436113,17624.404384966198,1
36,2,59035.07198345397,1.808998399315282,0.7032837874503555,0.7425514919695327,0.8023385507768213,0.09112031465327189,19181.612519981034,1
32,2,59856.80776390112,0.8537474711057913,0.7586716029296066,0.8714018728276494,0.6743668109374945,0.45020701860443696,7064.884322646856,1
29,0,37199.807560329646,4.333934432448788,0.5974020398965105,0.53331348047215,0.8728616559732658,0.27992316962782715,13809.191538745172,1
42,1,50599.83242428015,1.9712318742029722,0.8054592887586306,0.9619947061993557,0.6222939524734924,0.3762941561074869,16064.812516749365,0
28,0,46011.74631777242,4.624412216338461,0.9053099331396794,0.6319792341235208,0.7445798024831847,0.15518562876249448,14314.948115612353,1
40,2,62526.15193768495,4.238791490653881,0.7929461728598641,0.6833603450641239,0.671613297868449,0.27668716739450955,17372.846864016956,1
44,2,55558.796560448296,1.8831992589859787,0.8940175229010485,0.524181232797631,0.8919733087482722,0.14498876134713012,16638.96809302602,1
32,2,47741.45045473292,2.8695715447313126,0.8655539803590835,0.8265682054090617,0.9534613355319645,0.41724257657926866,21508.572882326876,0
32,0,34617.78315868804,0.13587018146960728,0.618828905763569,0.8544613986949334,0.63151448368139,0.3988737544284676,6340.319757402653,1
42,2,30837.100014553507,1.3161070143356735,0.7179064205545771,0.9643956086448828,0.91401514234656,0.11669104588837975,29962.383358229425,1
25,2,53724.111439339445,3.5513642428462484,0.5743134422182044,0.6684145016576144,0.9582889174888409,0.08352810533122981,16923.909832218025,1
29,0,41393.44787319848,3.389554729231334,0.520967937537551,0.6286843649391167,0.989588086645622,0.4208885314496238,18467.979491219205,0
24,1,57993.51761716679,1.7668472977087553,0.5315344776320654,0.8630432517854354,0.8317545003780356,0.0993415571326687,22973.18723082085,1
43,1,30282.316819085285,4.0430401595472825,0.9712499649364452,0.853400444221464,0.7309567544029627,0.29681779130840097,28694.526950345666,0
42,2,69115.41437850668,1.1791802594993555,0.9922687295671893,0.9685620289266934,0.7287894399469321,0.29051928406913313,17054.38850581484,0
23,0,57966.3690791801,2.306352665761358,0.54748875402492,0.6026593121166419,0.751588031717781,0.1413248306594702,23446.80077797842,1
33,2,51190.22107973273,2.362653176554504,0.6675967175860243,0.8526463113472675,0.8450669629310508,0.31611040964815224,16645.27883826431,0
27,0,70196.70723683278,1.7040838443500856,0.5572103400780113,0.5334342885946771,0.79609200485565,0.2762398433590715,24701.255495312984,1
23,0,61381.01521065363,4.773330505625836,0.9171144116844845,0.7401840533786093,0.861454010562734,0.2791351500679125,23485.696387259715,0
42,1,44299.96113659548,3.4834201675755065,0.7481485458201409,0.5596953886328542,0.6157255494118304,0.2118649893911011,14670.222382927612,1
22,1,50930.91571733995,2.6959966766365078,0.8106308779627747,0.8265729940472359,0.6423526201524454,0.42729285061632527,22895.13421919615,0
33,0,26428.708402223052,2.5525754669432428,0.7699554328675031,0.8007333808458429,0.9906157997707045,0.08796675329071224,12863.595555489355,1
43,2,62770.28372658621,0.7964804623554828,0.855126791920358,0.5244164668148643,0.9981542008744955,0.24738037153190123,16292.834004826604,1
33,1,46448.57986409934,1.8609344853404912,0.6595661216585302,0.6598089112923781,0.8986635268557559,0.16691736117403383,13302.910823628066,1
38,2,26273.301857132217,3.363866573645537,0.5687466772650162,0.6975168161383763,0.702558860072412,0.4317949633829816,20004.63718627329,1
